R_off,k_AA,Proton Flux (/s),Substrate Flux (/s)
1e-10,1.0,0.02465006969770006,-0.024636746031466296
1.2589254117941602e-10,1.0,0.024651612288370827,-0.024636662949663213
1.584893192461103e-10,1.0,0.02465334308834928,-0.02463656973083781
1.995262314968867e-10,1.0,0.024655285058703277,-0.024636465138213416
2.51188643150957e-10,1.0,0.02465746396115427,-0.02463634778413664
3.162277660168375e-10,1.0,0.02465990869954473,-0.024636216111676223
3.981071705534963e-10,1.0,0.0246626517029023,-0.024636068373978703
5.011872336272719e-10,1.0,0.02466572935515887,-0.024635902611107933
6.309573444801887e-10,1.0,0.024669182477194893,-0.02463571662406196
7.943282347242791e-10,1.0,0.024673056867565747,-0.024635507945624163
9.999999999999972e-10,1.0,0.024677403909034758,-0.02463527380766284
1.2589254117941625e-09,1.0,0.024682281248898645,-0.02463501110444808
1.5848931924611111e-09,1.0,0.024687753562052942,-0.024634716351501166
1.9952623149688807e-09,1.0,0.024693893406823174,-0.02463438563943395
2.5118864315095745e-09,1.0,0.024700782184792266,-0.0246340145821697
3.1622776601683787e-09,1.0,0.024708511217202116,-0.024633598258863475
3.9810717055349615e-09,1.0,0.024717182952013226,-0.024633131148757644
5.01187233627272e-09,1.0,0.02472691231738861,-0.02463260705811637
6.309573444801932e-09,1.0,0.02473782823924628,-0.024632019038279735
7.943282347242797e-09,1.0,0.024750075342619766,-0.024631359293762645
1e-08,1.0,0.0247638158589036,-0.024630619079195736
1.2589254117941638e-08,1.0,0.024779231763661994,-0.024629788583760415
1.584893192461112e-08,1.0,0.024796527172577628,-0.024628856801610633
1.995262314968881e-08,1.0,0.02481593102633742,-0.02462781138659385
2.5118864315095768e-08,1.0,0.02483770009882999,-0.02462663848938399
3.162277660168379e-08,1.0,0.02486212236699648,-0.024625322574916095
3.981071705534961e-08,1.0,0.02488952078506932,-0.024623846217764183
5.01187233627272e-08,1.0,0.024920257510789297,-0.02462218987282775
6.309573444801938e-08,1.0,0.024954738636547114,-0.02462033161838532
7.943282347242805e-08,1.0,0.024993419484289632,-0.02461824686823296
9.999999999999998e-08,1.0,0.025036810529499586,-0.024615908049248483
1.2589254117941638e-07,1.0,0.025085484026632576,-0.024613284240303998
1.5848931924611122e-07,1.0,0.02514008141610705,-0.02461034076798926
1.9952623149688814e-07,1.0,0.025201321601308793,-0.024607038754099357
2.511886431509577e-07,1.0,0.025270010193101905,-0.0246033346092829
3.162277660168379e-07,1.0,0.025347049829022052,-0.024599179466634456
3.9810717055349634e-07,1.0,0.025433451684634636,-0.024594518548347207
5.01187233627272e-07,1.0,0.025530348305406375,-0.024589290457815632
6.30957344480194e-07,1.0,0.025639007898756946,-0.024583426388790713
7.943282347242806e-07,1.0,0.02576085023757197,-0.0245768492423447
1e-06,1.0,0.025897464338133263,-0.024569472641496583
1.2589254117941676e-06,1.0,0.026050628086842442,-0.02456119983239132
1.5848931924611126e-06,1.0,0.026222330000833564,-0.024551922459918156
1.9952623149688766e-06,1.0,0.02641479331701362,-0.024541519204612082
2.5118864315095768e-06,1.0,0.026630502611459266,-0.024529854266620257
3.1622776601683788e-06,1.0,0.02687223315544299,-0.024516775681458654
3.981071705534973e-06,1.0,0.02714308321437524,-0.02450211345126443
